Fenja, exp_proc, generic_detail, mixed, 14, 14.285714285714285
Dummy1, exp_unproc, generic_detail, female_only, 0, 0
Dummy1, exp_unproc, generic_detail, male_only, 0, 0
Dummy1, exp_unproc, generic_detail, female_between_males, 0, 0
Dummy1, exp_unproc, generic_detail, male_between_females, 0, 0
Dummy1, exp_unproc, individual_detail, mixed, 0, 0
Dummy1, exp_unproc, individual_detail, poc_between_non_pocs, 0, 0
Dummy1, exp_unproc, individual_detail, non_poc_between_pocs, 0, 0
Dummy1, exp_unproc, individual_detail, female_only, 0, 0
Dummy1, exp_unproc, individual_detail, male_only, 0, 0
Dummy1, exp_unproc, individual_detail, female_between_males, 0, 0
Dummy1, exp_unproc, individual_detail, male_between_females, 0, 0
Dummy1, exp_unproc, coarse, mixed, 0, 0
Dummy1, exp_unproc, coarse, poc_between_non_pocs, 0, 0
Dummy1, exp_unproc, coarse, non_poc_between_pocs, 0, 0
Dummy1, exp_unproc, coarse, female_only, 0, 0
Dummy1, exp_unproc, coarse, male_only, 0, 0
Dummy1, exp_unproc, coarse, female_between_males, 0, 0
Dummy1, exp_unproc, coarse, male_between_females, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, mixed, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, poc_between_non_pocs, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, non_poc_between_pocs, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, female_only, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, male_only, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, female_between_males, 0, 0
Dummy1, exp_unproc, complete_identity_coarse, male_between_females, 0, 0
Dummy1, exp_unproc, complete_identity_detail, mixed, 0, 0
Dummy1, exp_unproc, complete_identity_detail, poc_between_non_pocs, 0, 0
Dummy1, exp_unproc, complete_identity_detail, non_poc_between_pocs, 0, 0
Dummy1, exp_unproc, complete_identity_detail, female_only, 0, 0
Dummy1, exp_unproc, complete_identity_detail, male_only, 0, 0
Dummy1, exp_unproc, complete_identity_detail, female_between_males, 0, 0
Dummy1, exp_unproc, complete_identity_detail, male_between_females, 0, 0
